record_id,question
mxadol_6dPKkHyplO,"Question Details A14-year-old boy presents with concerns that his ""breasts are too big"" He reports being made fun of by peers and purposely wears large, loose fitting shirts so as not to accentuate his appearance. He also has several chronic medical problems for which he takes multiple medications. Which of the following disorders is often treated with a medication that may cause this condition? Mood disorder Allergic rhinitis Well-controlled asthma Recurrent respiratory infections associated with cystic fibrosis Recurrent urinary tract infections * Note: Questions cannot be answered from this view. Answer & Explanation Answer b Mood disorder Explanation Mood disorders may be treated with a second generation antipsychotic (e.g. risperidone, quetiapine), which, in turn, may cause gynecomastia. Physiological pubertal gynecomastia occurs in up to 65% of young adolescents (13-14 years of age) as a result of estrogen- induced stimulation of glandular breast tissue. It is usually bilateral, often asymmetric, and may be tender-especially following exercise and from local irritation by clothing. However, it is important to remember that gynecomastia may also be associated with mediratiane nr tindarlvine marlical dienrdare In additinn ta enme antinevehntice avnaramactia may ha rattcad hy avngannric ar"
mxadol_8hP9Vwucyu,"Question Details A17-year-old high school senior presents for a scheduled physical exam prior to college entry. She has been awarded an athletic scholarship for cross country and runs 50-60 miles/week. She has no complaints; however, she says that she hasn't had a menstrual period in 4 months. She adds that ""enjoys not having to hassle with it"" She denies fasting and use of diuretics, emetics, or laxatives to control her weight and simply states that she ""watches what she eats to be sure it's healthy."" Her weights in the 10"" percentile and height in the 60"" percentile. Her physical exam is remarkable only for a resting heart rate of 52 bpm. A pregnancy test is negative. Which of the following recommendations is most appropriate for this patient? Obtain an MRI of the head to rule out a pituitary tumor. Begin oral contraceptives to regulate her menstrual cycles. Advise a referral to a dietitian experienced with athletes. She should be restricted from participating in competitive sports until her heart rate can be consistently documented to be = 60 beats/minute. An echocardiogram should be obtained to evaluate for evidence of ipecac-induced cardiomyopathy. * Note: Questions cannot be answered from this view. Answer & Explanation Answer Advise a referral toa dietitian experienced with athletes, Explanation This patient has evidence of relative energy deficiency in sport (RED-S; formerly female athlete triad), a syndrome characterized bvamenorrhea or irrezular menses. disordered eating. and osteopenia. Lone distance runners. 2vmnasts. ballet dancers. and some >"
mxadol_8KcfFnZFte,"Question Details A17-year-old female presents with intermittent chronic pelvic pain for the past year. She describes the pain as a constant, dull ache that worsens a few days before her period starts. She also reports heavy menstrual bleeding lasting 7-10 days. She denies any other associated symptoms. Her cycles are regular, occurring every 28 days. She is not sexually active, Past medical history is unremarkable. Vital signs are normal. On physical exam, she has mild, diffuse lower abdominal tenderness without rebound or guarding. Which of the following is the most appropriate next step in management? Oral contraceptive pills (OCPs) Acetaminophen Medroxyprogesterone acetate injections Gabapentin Hydrocodone/Acetaminophen * Not Juestions cannot be answered from this view. Answer & Explanation Answer Oral contraceptive pills (OCPs) Explanation This adolescent has symptoms consistent with dysmenorrhea and menorrhagia, likely due to ovarian hormone fluctuations. OCPs would be the most appropriate next step in management in an attempt to regulate the menstrual cycle by preventing ovulation and thinning the uterine lining, which often improves both dysmenorrhea and heavy bleeding."
mxadol_8ReURfdhGW,"Question Details 'A16-year-old female complains of a 3-week history of left foot pain. Although she denies any known trauma, she is an elite gymnast who practices up to 3 hours daily. On physical examination, her body mass indexis at the 15*"" percentile. She has point tenderness over the base of the 5** metatarsal bone. A radiograph reveals a fracture corresponding to the area of tenderness. Which of the following is a known risk factor for this injury? Non-Hispanic Black population Hypothalamic amenorrhea Early menarche Familial short stature Hypothyroidism * Note: Questions cannot be answered from this view. Answer & Explanation Answer Hypothalamic amenorrhea Explanation The patient has typical clinical and radiographic findings of a stress fracture, a common overuse injury among physically active adolescents caused by recurrent repetitive and submaximal loading of the bone. Risk factors for a stress fracture include menstrual disturbances (including hypothalamic amenorrhea), disordered eating (often with inadequate calcium intake), and decreased bone density/osteoporosis-relative energy deficiency in sport (RED-S; formerly female athlete triad). An updated definition of RED-S emphasizes the importance of evaluating each of the 3 components on a continuous spectrum rather than as a severe pathological endpoint."
mxadol_8zXiNUx7BK,"Question Details 'An 18-year-old female presents for a physical examination prior to leaving for college. She reports the recent onset of sexual activity with her boyfriend and that they use condoms ""sometimes."" She is asymptomatic. Physical examination is normal and a urine pregnancy test is negative. Urine nucleic acid amplification test (NAAT) results are positive for chlamydia and negative for gonorrhea. What is the most appropriate next step in the treatment of this patient? Ceftriaxone 500 mg IM; retest for chlamydial infection in 3 weeks. Cefixime 400 mg by mouth; retest for chlamydial infection in ~ 3 weeks. Doxycycline 100 mg by mouth 2x/d for 7 days; retest for chlamydia and gonorrhea in ~ 3 months. Amoxicillin 500 mg by mouth 3x/d for 7 days; do not retest for chlamydial infection unless reinfection is suspected. Azithromycin 1 g by mouth plus ceftriaxone 250 mg IM; do not retest for chlamydial infection unless reinfection is suspected. * Note: Questions cannot be answered from this view. Answer & Explanation Answer Doxycycline 100 mg by mouth 2x/d for 7 days; retest for chlamydia and gonorrhea in ~ 3 months. Explanation For patients with uncomplicated genital chlamydial infection only, oral doxycycline (100 mg by mouth 2x/d for 7 days) is the preferred regimen; supervised administration of a single 1 g oral dose of azithromycin is an alternative, which is best reserved where compliance with doxycycline is a concern. Azithromycin is the preferred regimen for pregnant patients. Because of a high prevalence of Chlamydia trachomatis reinfection in people who were treated for chlamydial infection during the preceding several months, those who have been treated for chlamydia should be retested ~ 3 months after treatment-regardless of whether they >"
mxadol_ACojJWKfrE,"Question Details An otherwise asymptomatic 17-year-old male with a history of dysuria and urethral discharge has a positive urine nucleic acid amplification test for Neisseria gonorrhoeae. Chlamydia testing is negative. He weighs 175 Ib. Which of the following best outlines the preferred treatment of this patient? Cefixime 400 mg orally in a single dose plus azithromycin 4 gorally in a single dose Ciprofloxacin 500 mg orally twice daily for 5 days Ceftriaxone 250 mg M ina single dose plus cefixime 400 mg orally in a single dose Ceftriaxone 250 mg IM ina single dose plus ciprofloxacin 500 mgina single dose Ceftriaxone 500 mg IM ina single dose * Note: Questions cannot be answered from this view. Answer & Explanation Answer Ceftriaxone 500 mg IM ina single dose Explanation Neisseria gonorrhoeae's ability to develop antimicrobial resistance continues to require changes in treatment recommendations for gonococcal infections. For patients with uncomplicated genital, rectal, or pharyngeal gonorrhea, the CDC recommends a single 500 mg IM dose of ceftriaxone. For persons weighing 2 150 kg (330 Ib), a single 1g IM dose is administered. Combination therapy is also recommended when treating gonorrhea if concomitant infection with Chlamydia trachomatis has not, been excluded with molecular testing. CDC recommends doxycycline 100 mg orally twice daily for 7 days. Because this patient had a negative chlamydia test, combination therapy is not necessary."
mxadol_aHhVD1XnST,"Question Details A.16-year-old girl is brought to the office by her mother, who says that her daughter appears to be overly concerned with her weight even though her appetite is normal or, at times, even excessive. Parotid enlargement, eroded dental enamel and soft palate petechiae are noted on physical examination. Laboratory values include potassium levels of 3.0 mEq/mL, chloride of 90 mEq/mL, and bicarbonate level of 38 mEq/mL. Which of the following is often identified in patients with similar clinical and laboratory findings? Calluses on the dorsum of the hand Exfoliation of the skin with slight rubbing, Dark bluish discoloration of the cervix Red transverse lines in skin creases Mastoid ecchymoses * Note: Questions cannot be answered from this view. Answer & Explanation Answer Calluses on the dorsum of the hand Explana The patient has cli ical and laboratory findings consistent with bulimia nervosa (BN). Russell si calluses that form on the knuckles due to the hand continually hitting the teeth at a specific site during self-induced vomiting. BN is characterized by binge eating associated with recurrent compensatory behaviors (eg, self-induced vomiting, laxative misuse) in an attempt to prevent weight gain. Additional physical findings may include parotid enlargement, erosion of dental enamel, soft"
mxadol_AkEUtLHCzw,"Question Details An 18-year-old freshman presents to a college health center concerned about a ""lump"" in her left breast discovered while showering this morning. She states that she purposely examined her breast because of a dull, persistent pain several days in duration. She is otherwise well, is not sexually active, and although she did take oral contraceptives several years ago to treat severe dysmenorrhea and heavy menstrual bleeding, she has not done so for the last year. She regularly has a menstrual period every 28-30 days and reports that her last period was around 4 weeks ago. On physical examination, a slightly tender, cystlike mobile mass associated with fibrotic tissue is palpated in the upper outer quadrant of the left breast. Which of the following is the most appropriate initial treatment of this patient? Ibuprofen with a follow-up in 1-2 months Fine needle aspiration Oral cephalexin Ultrasound Mammogram * Note: Questions cannot be answered from this view. Answer & Explanation Answer Ibuprofen with a follow-up in 1-2 months Explanation The patient has clinical signs and symptoms of fibrocystic breast changes. Initial treatment with a nonsteroidal antiinflammatory agent (e.g., ibuprofen) is generally recommended to relieve associated breast pain in the perimenstrual period. >"
mxadol_aMV5Mi7TZt,"Question Details 17-year-old female complains of subjective fever, shaking chills, and pain in her wrists, hands, and fingers. On physical examination, her temperature is 38.8°C (101.8°F). Passive range of motion of both wrists and hands is limited by pain; there is no associated swelling of the wrists or small joints of the fingers. There is pain along the tendon sheaths of the fingers and wrists with both passive and active movement. You note 10-15 painless 2- to 10-mm petechial and pustular lesions (some with an area of central necrosis) on her hands, feet, and around her ankles (Figure). >"
mxadol_ApNDQgAAQ9,"Question Details A.16-year-old boy with fatigue, weight loss, lumbar back pain, cough, and severe pain localized in the more proximal portion of his right lower extremity is found to have a markedly elevated serum a-fetoprotein level. Which of the following clinical findings is most likely to be identified during additional evaluation of this patient? Areddish-black skin lesion with irregular borders Adark-bluish subcutaneous nodule Proptosis associated with periorbital ecchymoses Leukocoria associated with an absent red reflex A firm, painless testicular nodule * Note: Questions cannot be answered from this view. Answer & Explanation Answer A firm, painless testicular nodule Explanation a-Fetoprotein (AFP) is one of several serum tumor markers associated with testicular cancer, which usually presents as a painless nodule or swelling in one testicle. Many patients also complain of a generalized sensation of ""heaviness"" and/or a dull, aching pain located in the lower abdomen and scrotum. Signs and symptoms associated with metastatic disease may include supraclavicular lymphadenopathy; a chronic cough or exercise intolerance due to pulmonary metastasis; anorexia, nausea, and/or vomiting due to retroduodenal metastasis; severe bone pain associated with skeletal metastasis; and lower extremity swelling due to venous thrombosis."
