record_id,question,anchor,answerchoice_a,answerchoice_b,answerchoice_c,answerchoice_d,answerchoice_e,correct_answer,answer_explanation,age,subject,shelf_image,student_assessment_shelf_complete
0D686278,"<p>A 4-year-old boy is brought to the emergency department by his parents. They report that he has had a fever for the past 3 days, which has been as high as 102°F at home. He has also been complaining of pain in his right leg, and they have noticed that he has been limping. On examination, the boy appears ill and has a temperature of 101.5°F. His right hip is tender to palpation and he resists passive movement of the hip joint. Laboratory studies show a white blood cell count of 14,000/mm3 and a C-reactive protein level of 4.5 mg/dL.</p>","What is the most appropriate treatment?","Intravenous antibiotics and surgical drainage","Oral antibiotics and rest","Intravenous fluids and antipyretics","Surgical intervention and physical therapy","Pain management and observation",a,"<p>This child's fever, limp, and refusal to move the right hip, along with elevated inflammatory markers, are concerning for septic arthritis of the hip, a surgical emergency. The most common pathogen is Staphylococcus aureus. Treatment involves intravenous antibiotics and surgical drainage to prevent joint destruction.</p>",4.0,19,,2
0MCQWLGE,"<p>A 15-month-old girl presents with bowed legs and delayed walking. Physical exam reveals frontal bossing, widened wrists, and a prominent costochondral junction (rachitic rosary). X-ray shows cupping and fraying of the metaphyses. She drinks cow's milk and avoids sunlight exposure.</p>","What is the most likely diagnosis?","Lead poisoning","Iron deficiency anemia","Calcipenic rickets","Phosphenic rickets","Osteogenesis imperfecta",c,"<p>Calcipenic rickets typically presents in toddlers with skeletal abnormalities, including bowing of the legs, widened growth plates, and delayed developmental milestones. The diagnosis is confirmed with radiographic findings. Children with limited sun exposure or inadequate intake of vitamin D-fortified foods are at increased risk.</p>",1.25,16,0MCQWLGE.jpg,2
0ZFYGDKY,"<p>A 13-year-old boy presents for evaluation of concerns regarding his physical development. He is shorter and less muscular than most of his peers. His voice has not yet changed, and there is no evidence of axillary or pubic hair. He denies fatigue, headaches, or vision changes. Family history reveals that his father also went through puberty late. Bone age is consistent with a 10-year-old.</p>","What is the most appropriate management?","Order brain MRI","Start testosterone therapy","Reassure and monitor pubertal progression","Refer to endocrinology","Check serum prolactin and TSH",c,"<p>This adolescent likely has constitutional delay of growth and puberty, especially given the family history and delayed bone age. Reassurance and periodic monitoring are appropriate; most boys with this condition go through normal puberty later.</p>",13,1,,2
00ZG699S,"<p>A 12-year-old girl is evaluated for breast asymmetry. Her right breast is Tanner stage III while her left breast remains at Tanner stage I. She is otherwise healthy and denies pain or trauma. Her menarche has not yet occurred. Parents are concerned something is wrong.</p>","What is the most appropriate next step?","Order breast ultrasound","Reassure and monitor development","Perform breast biopsy","Refer to pediatric surgery","Obtain estrogen and prolactin levels",b,"<p>Asymmetric breast development is common during puberty. Most cases resolve over time as both breasts continue to develop. In the absence of concerning signs (e.g., mass, skin changes), reassurance and monitoring are appropriate.</p>",12,1,,2
1C0B8547,"A 7-year-old boy is brought to the pediatrician's office by his mother, who reports that he has been complaining of pain in his right elbow for the past two days. The pain started after he fell off his bicycle onto an outstretched hand. He has been holding his arm slightly flexed and pronated. On physical examination, there is tenderness over the lateral aspect of the elbow. An X-ray of the elbow shows a posterior fat pad but no visible fracture.","What is the appropriate treatment?","Casting in flexion and pronation","Casting in extension and supination","Surgical intervention","Physical therapy","Observation and pain management",a,"This patient's history and physical examination are consistent with a supracondylar fracture of the humerus, a common pediatric elbow injury often resulting from a fall on an outstretched hand. The classic presentation is a child with an elbow held in slight flexion and pronation due to pain. X-rays may not show a visible fracture but may reveal a posterior fat pad sign, which is indicative of an intra-articular fracture. The appropriate treatment is immediate immobilization in a long arm cast in a position of comfort, typically slight flexion and pronation, followed by orthopedic referral.",7.0,19,,0
1E214989,"A 7-year-old boy is brought to the pediatrician's office by his mother, who reports that her son has been experiencing a persistent dry cough for the past three weeks. The cough is most severe at night and has been disturbing his sleep. He has no history of asthma or allergies, and his immunizations are up to date. On physical examination, the boy appears healthy with no signs of respiratory distress. His lung sounds are clear, and there are no signs of wheezing or stridor. The rest of the physical examination is unremarkable.","What is the underlying pathophysiology?","Inflammation of the bronchial tubes","Infection of the upper respiratory tract","Inflammation of the larynx","Gastroesophageal reflux disease","Foreign body aspiration",d,"This child's chronic, nocturnal cough is suggestive of gastroesophageal reflux disease (GERD). GERD can present with respiratory symptoms such as a chronic cough, particularly at night, due to the reflux of gastric contents into the esophagus and aspiration into the larynx and lungs. The other options are less likely given the absence of other symptoms such as fever, wheezing, stridor, or a history of foreign body aspiration.",7.0,22,,0
1LI3Y5IO,"A 1-month-old infant is being evaluated at a routine visit. The baby startles easily to loud noises, exhibits the rooting reflex, and maintains hands in fists most of the time. He briefly fixes gaze on the parentâ€™s face and has normal tone and feeding.","Which of the following reflexes is expected to be present at this age?","Landau reflex","Parachute reflex","Moro reflex","Babinski reflex","Stepping reflex",c,"The Moro reflex (startle reflex) is present at birth and typically disappears by 4â€""6 months. It consists of symmetric abduction and extension of the arms followed by adduction in response to a sudden noise or movement.",0.08,4,,0
2BLK426K,"A 6-year-old boy presents with abdominal pain, decreased urine output, and blood in the stool. One week ago, he had an episode of bloody diarrhea. Labs show thrombocytopenia, elevated creatinine, and anemia with schistocytes on peripheral smear.","What is the most likely diagnosis?","Poststreptococcal glomerulonephritis","Hemolytic uremic syndrome","IgA nephropathy","Immune thrombocytopenia (ITP)","Disseminated intravascular coagulation (DIC)",b,"Hemolytic uremic syndrome (HUS) is a common cause of acute renal failure in children. It often follows an episode of bloody diarrhea due to E. coli O157:H7. Key findings include hemolytic anemia, thrombocytopenia, and acute kidney injury.",6.0,20,,0
2DXRFL0L,"A 5-month-old infant presents with a new-onset fever and vesicular lesions on the hands, feet, and in the oral mucosa. Parents note that the infant has been drooling more than usual and is refusing solids. There is no rash on the trunk or extremities.","What is the most likely causative organism?","Coxsackie A virus","Varicella-zoster virus","Herpes simplex virus","Measles virus","Streptococcus pyogenes",a,"Hand-foot-and-mouth disease is caused by Coxsackie A virus and presents with vesicular lesions in the oral cavity and extremities. It is usually self-limited and managed with supportive care.",0.42,12,,0
2M40O01R,"A 17-year-old male presents with a firm, painless mass in the left testicle that he noticed 2 weeks ago. He denies trauma, fever, dysuria, or systemic symptoms. On examination, the mass is distinct from the epididymis and does not transilluminate. There is no inguinal lymphadenopathy, and the right testicle is normal. He is concerned because a classmate was recently diagnosed with testicular cancer.","What is the most appropriate next step in management?","Perform testicular biopsy in clinic","Reassure and re-examine in 1 month","Order testicular ultrasound","Measure serum beta-hCG and AFP","Prescribe antibiotics for epididymitis",c,"In adolescent males, a firm intratesticular mass that does not transilluminate is concerning for malignancy. The first step in evaluation is a scrotal ultrasound, which can help distinguish between solid and cystic masses. Biopsy is avoided due to the risk of spreading tumor cells.",17,1,,0
