record_id,question,anchor,answerchoice_a,answerchoice_b,answerchoice_c,answerchoice_d,answerchoice_e,correct_answer,answer_explanation,age,subject
E82EA2D5,"A 14-year-old boy presents to the clinic with his mother, complaining of a persistent cough for the past 3 weeks. The cough is dry and occurs mostly at night. He also reports occasional shortness of breath, especially during physical education classes at school. His mother mentions that the boy's father has a history of asthma. On physical examination, the boy has a prolonged expiratory phase and scattered wheezes. His oxygen saturation is 96% on room air.",What is the most likely diagnosis?,Bronchiolitis,Pneumonia,Asthma,Cystic fibrosis,Foreign body aspiration,c,"This patient's symptoms of a chronic, dry cough that is worse at night and associated with exertional dyspnea, along with a family history of asthma and physical examination findings of prolonged expiration and wheezing, are suggestive of asthma. Asthma is a common chronic inflammatory disorder of the airways characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",14.0,1
89F30B0A,"A 6-year-old boy is brought to the emergency department by his parents. He has been experiencing severe chest pain and shortness of breath for the past 2 hours. His parents report that he has a history of congenital heart disease. On examination, he appears pale and diaphoretic. His heart rate is 130 beats per minute, respiratory rate is 30 breaths per minute, and oxygen saturation is 88% on room air. An ECG shows ST-segment elevation in leads II, III, and aVF.",What is the appropriate treatment?,Administer aspirin and refer for immediate cardiac catheterization.,Administer nitroglycerin and start oxygen therapy.,Administer morphine and start intravenous fluids.,Administer epinephrine and perform chest compressions.,Administer albuterol and start bronchodilator therapy.,a,"This child's presentation is consistent with an acute myocardial infarction (MI), a rare but serious condition in children with congenital heart disease. The appropriate treatment for an acute MI includes aspirin to inhibit platelet aggregation and immediate referral for cardiac catheterization to restore blood flow. Nitroglycerin (choice B) can relieve chest pain but does not address the underlying issue. Morphine (choice C) can relieve pain and anxiety but does not treat the MI. Epinephrine and chest compressions (choice D) are used in cardiac arrest, not MI. Albuterol and bronchodilator therapy (choice E) are used for asthma, not MI.",6.0,2
7301E6B6,"A 2-year-old boy is brought to the pediatric ICU with a 2-day history of fever, irritability, and a rash. His mother reports that he has been refusing to eat and has been crying more than usual. On examination, he has a temperature of 38.5°C (101.3°F), heart rate of 110/min, and respiratory rate of 24/min. He appears ill and irritable. There are erythematous, sandpaper-like rashes on his trunk and extremities, and his tongue appears red with a white coating. His pharynx is erythematous without exudates, and there are no vesicles noted. He also has a blanching, erythematous rash in the diaper area. There are no petechiae or purpura.",What is the most likely diagnosis?,Kawasaki disease,Scarlet fever,Measles,Chickenpox,Fifth disease,b,"This child's fever, 'sandpaper' rash, 'strawberry' tongue, and irritability are classic symptoms of scarlet fever, a disease caused by group A Streptococcus. Kawasaki disease typically presents with a longer duration of fever and additional symptoms such as conjunctival injection, cervical lymphadenopathy, and changes in the lips and oral cavity. Measles, chickenpox, and fifth disease have distinct rashes and other symptoms that are not present in this case.",2.0,3
5086E24B,"A 2-year-old boy is brought to the pediatric inpatient ward by his parents due to a 3-day history of poor feeding, irritability, and excessive sleepiness. His parents also report that he has been having episodes of vomiting and diarrhea. On physical examination, he appears lethargic and dehydrated. His vital signs are: temperature 37.5°C (99.5°F), pulse 130/min, respirations 24/min, and blood pressure 90/60 mmHg. Laboratory studies show a serum sodium level of 125 mEq/L and a serum osmolality of 260 mOsm/kg.",What is the underlying pathophysiology?,Increased secretion of antidiuretic hormone (ADH),Decreased secretion of antidiuretic hormone (ADH),Increased secretion of aldosterone,Decreased secretion of aldosterone,Impaired renal tubular response to ADH,a,"This patient's symptoms of poor feeding, irritability, excessive sleepiness, vomiting, and diarrhea, along with his laboratory findings of hyponatremia and low serum osmolality, are suggestive of syndrome of inappropriate antidiuretic hormone secretion (SIADH). SIADH is characterized by excessive release of antidiuretic hormone (ADH) from the posterior pituitary gland or nonpituitary sources, leading to water retention, dilutional hyponatremia, and hypo-osmolality. The other options are incorrect because they do not explain the patient's clinical presentation and laboratory findings.",2.0,4
6E251CAD,"A 6-year-old boy is brought to the pediatrician's office by his mother, who reports that her son has been experiencing frequent episodes of wheezing and shortness of breath, especially during physical activities. She also mentions that the boy often wakes up at night coughing. The boy's medical history is unremarkable, and he has no known allergies. On examination, the pediatrician notes that the boy's breath sounds are diminished and there are high-pitched whistling sounds during expiration. The boy's oxygen saturation is 95% on room air.",What is the underlying pathophysiology?,Inflammation and narrowing of the airways,Decreased surfactant production,Pulmonary artery hypertension,Alveolar overdistention,Interstitial lung disease,a,"The boy's symptoms of wheezing, shortness of breath, and nocturnal coughing are characteristic of asthma, a chronic inflammatory disorder of the airways. This inflammation leads to recurrent episodes of wheezing, breathlessness, chest tightness, and coughing, particularly at night or in the early morning. These symptoms are due to widespread but variable airflow obstruction within the lung that is often reversible either spontaneously or with treatment. Therefore, the underlying pathophysiology is inflammation and narrowing of the airways.",6.0,5
CF028186,"A 2-year-old boy is admitted to the pediatric ICU with a 2-day history of polyuria, polydipsia, and recent onset of vomiting. His parents report that he has been increasingly thirsty and has been urinating more frequently. On examination, he appears lethargic and dehydrated. His blood glucose level is 600 mg/dL and urine analysis shows glucose and ketones. Arterial blood gas analysis reveals a pH of 7.2, bicarbonate of 10 mEq/L, and an anion gap of 20. The patient is diagnosed with diabetic ketoacidosis.",What is the appropriate treatment?,Oral rehydration therapy,Intravenous insulin and fluid resuscitation,Subcutaneous insulin administration,Intravenous glucose administration,Oral hypoglycemic agents,b,"This patient's presentation is consistent with diabetic ketoacidosis (DKA), a serious complication of type 1 diabetes. The mainstay of treatment for DKA is intravenous insulin and fluid resuscitation. Insulin stops further ketone production and allows glucose to enter cells, while fluid resuscitation corrects dehydration, which is often severe in DKA. Oral rehydration therapy is not sufficient in this case. Subcutaneous insulin administration is not appropriate for DKA treatment. Intravenous glucose administration would exacerbate hyperglycemia. Oral hypoglycemic agents are not used in the management of DKA.",2.0,6
4ECF4793,"A 3-year-old boy is brought to the emergency department by his parents with a 2-day history of vomiting and diarrhea. His parents report that he has been unable to keep down any food or drink. On examination, the boy appears lethargic and his skin turgor is poor. His heart rate is 130 beats per minute and his blood pressure is 90/60 mmHg. Laboratory studies show a serum sodium level of 150 mEq/L and a serum potassium level of 3.0 mEq/L.",What is the underlying pathophysiology?,Increased intracellular sodium concentration,Decreased extracellular potassium concentration,Increased extracellular sodium concentration,Decreased intracellular potassium concentration,Increased intracellular potassium concentration,c,"This child's clinical presentation is consistent with dehydration secondary to gastroenteritis, a common cause of morbidity and mortality in children worldwide. The underlying pathophysiology in this case is increased extracellular sodium concentration (hypernatremia), which is typically due to water loss exceeding sodium loss. This can occur with inadequate fluid intake, as in this child who has been unable to keep down any food or drink. Hypernatremia leads to cellular dehydration as water moves from the intracellular space (where the sodium concentration is now relatively lower) to the extracellular space.",3.0,7
76FCD6E7,"A 3-year-old boy is admitted to the pediatric ICU following a diagnosis of Duchenne muscular dystrophy. His mother reports that he has been having difficulty walking and has been falling frequently. On physical examination, he has a waddling gait and difficulty rising from a seated position. He also has pseudohypertrophy of the calf muscles. Genetic testing confirms a deletion mutation in the dystrophin gene.",What is the appropriate treatment?,Physical therapy and corticosteroids,Surgical intervention,Chemotherapy,Antibiotics,Immunosuppressive therapy,a,"Duchenne muscular dystrophy is a genetic disorder characterized by progressive muscle weakness. There is no cure for the disease, but treatment is aimed at managing symptoms and improving quality of life. Physical therapy can help maintain muscle strength and flexibility, and corticosteroids can slow the progression of muscle weakness. Surgical intervention, chemotherapy, antibiotics, and immunosuppressive therapy are not appropriate treatments for this condition.",3.0,8
8EA9C262,"A 3-year-old boy is brought to the clinic by his parents who are concerned about his recent fatigue and pallor. They report that he has been increasingly tired over the past month and has had several episodes of nosebleeds. On physical examination, the boy appears pale. His spleen is palpable 2 cm below the left costal margin. Laboratory studies show a hemoglobin level of 7 g/dL, a platelet count of 30,000/mm3, and a white blood cell count of 2,000/mm3.",What is the most likely diagnosis?,Acute lymphoblastic leukemia,Aplastic anemia,Iron deficiency anemia,Sickle cell disease,Thalassemia,b,"This child's fatigue, pallor, and nosebleeds, along with the laboratory findings of pancytopenia (anemia, thrombocytopenia, and leukopenia), are suggestive of aplastic anemia. Aplastic anemia is a condition characterized by bone marrow failure and pancytopenia. Acute lymphoblastic leukemia typically presents with isolated or combined cytopenias, but the white blood cell count can be normal or elevated, not low as in this case. Iron deficiency anemia typically presents with microcytic anemia, not pancytopenia. Sickle cell disease and thalassemia are hereditary hemoglobinopathies that typically present earlier in life and do not cause pancytopenia.",3.0,9
46D8256B,"A 2-year-old boy is brought to the pediatric inpatient ward by his parents. They report that he has had a fever for the past 3 days, which has been as high as 102°F at home. His parents also note that he has been irritable and has refused to eat. On physical examination, the boy appears ill and is noted to have bilateral conjunctival injection, erythematous oropharynx, and a rash on his trunk and extremities. His lips are also noted to be red and cracked.",What is the most likely diagnosis?,Scarlet fever,Kawasaki disease,Measles,Stevens-Johnson syndrome,Toxic shock syndrome,b,"The child's presentation of fever, irritability, bilateral conjunctival injection, erythematous oropharynx, rash, and changes in the lips is consistent with Kawasaki disease. Scarlet fever typically presents with a 'strawberry tongue' and a sandpaper-like rash, which are not present in this case. Measles usually presents with Koplik spots in the mouth, which are also not noted here. Stevens-Johnson syndrome and toxic shock syndrome typically present with more severe systemic symptoms and are less likely given the child's presentation.",2.0,10
8B5015DD,"A 7-year-old boy is admitted to the inpatient ward with a 3-day history of fever, joint pain, and rash. His mother reports that he has been very tired and has had a poor appetite. On examination, he has a salmon-pink rash on his trunk and thighs, and his knees and wrists are swollen and warm to touch. Laboratory tests reveal elevated inflammatory markers and a mild normocytic anemia. An echocardiogram shows no abnormalities.",What is the appropriate treatment?,Intravenous immunoglobulin and high-dose aspirin,Oral prednisone,Intravenous ceftriaxone,Oral amoxicillin,Intravenous acyclovir,a,"The patient's presentation is consistent with systemic juvenile idiopathic arthritis (sJIA), a form of juvenile idiopathic arthritis that is characterized by arthritis, fever, and rash. The first-line treatment for sJIA is nonsteroidal anti-inflammatory drugs (NSAIDs) and glucocorticoids. However, in severe cases, intravenous immunoglobulin and high-dose aspirin may be used. The other options are not appropriate as they are used to treat infections, which are not indicated in this case.",7.0,11
